CapableOf
education	further_opportunity
driver	start_engine
food	feed_animals
commuter	carry_briefcase
storms	produce_lightning
ali	weight_train
teachers	master_students
fire	heat_air
cook	dress_turkey
computers	produce_audio
waiter	quarter_dessert
chess_player	position_rooks
humans	race_horses
machine	do_task
placebos	ease_depression
farmers	supply_food
sharp_knife	quarter_orange
person	sprint
doctor	distance_himself
happy_dogs	wag_tails
construction_workers	raise_building
host	head_table
teacher	teach_english
hermit	live_alone
kids	wear_sunglasses
markets	bottom_out
water	fill_glass
killing_mouse	make_sad
person	show_emotion
packer	box_magazines
mean_words	hurt_people
one_drop	begin_rainshower
person	feel_beautiful
guns	misfire
libraries	fine_people
illustrator	letter_comic
policemen	corner_thief
person	paint_boat
jake	near_destination
thief	take_jewelry
meal	include_chicken
dog	tear_shirt
counter	count_visitors
flashers	show_genitals
person	step_forward
dealers	cut_deck
seat	on_airplane
cat	pet
student	finishing_degree
hug	lift_spirits
air	transport_energy
tears	streaming_down
customers	mail_orders
fairminded_person	chair_meeting
archers	miss_mark
football_player	corner_sharply
person	distance_themself
we	reach_goals
mice	bell_cat
speakers	produce_sounds
apple_picker	reach_apple
dancer	dance
junkie	bottom_out
humans	run_far
slave	scape_bonds
weekend_warrior	play_paintball
headache	pain_person
quarterback	throw_football
brooms	clean_floors
injury	pain
leaders	sign_agreement
nose	sense_odors
tnt	explode
client	sign_check
divorcee	leave_marriage
friend	speak_klingon
astronomers	view_stars
person	trip_person
round_lid	fit_manhole
writer	write_novels
parents	feed_child
drugs	cloud_mind
footballer	head_football
government	get_money
madame_chairman	chair_meeting
good_boat	weather_storm
acting_president	chair_meeting
drivers	slow_cars
mufflers	quiet_automobile
people	fight_injustice
student	choose_leader
chocolate	melt
bettor	raise_ante
carpenter	true_wall
hunter	spot_deer
alchohol	cloud_judgement
dunes	move
home_run	even_score
flame	burn_fingers
jew	pray
student	continue_education
meterman	read_meter
obsessions	cause_anxiety
fisherman	bone_fish
insomniac	stay_awake
person	carry_briefcase
door	enclose_cupboard
stall_tactics	buy_time
dormant_volcanoes	erupt_again
attorney	right_wrong
electrical_store	stock_wire
deaf	sign_world
oil	condition_leather
drunk	appear_ridiculous
people	remember_events
cold	cause_shivering
farmer	water_crops
teachers	hurry_children
argument	prove_point
kindegartner	dress_herself
mental_illness	effectively_treated
plastic_cup	hold_toothbrush
people	make_choice
salesman	sell_flowers
scientets	measure_values
elevator	lift_people
railroad_tracks	bridge_river
football_player	pass_ball
plant	bottle_drinks
prospector	mine_gold
boxer	strike_opponent
person	drink_cappuccino
child_playing	build_mind
cpatain	captain_ship
monopolist	corner_market
driver	control_car
farmer	pick_carrot
rain	wet_road
company	pay_employees
pistols	kill_people
clam	closing_shell
hammer	nail_nail
child	smell_cookies
cat	act_nonchalant
hats	shade_heads
autoworker	make_car
main_feature	follow_trailer
pet_owner	stroke_cat
designer	position_furniture
sand	fill_sandbag
speaker	speak_eloquently
computer_communications	specialised_field
housewife	clean_oven
swordsman	fence_well
vexatious_litigant	intimidating
tyrant	ruling_nation
detective	find_eveidence
sportscar	corner_well
anyone	visit_home
pen	different_colors
people	wait_tables
contractor	rush_job
we	spend_money
spouses	break_up
gambler	play_cards
mountain	present_obstacle
person	turn_blue
cat	get_mouse
we	spot_thief
film	star_actor
dog	smell_crotch
ant	build_colony
people	value_relationships
flashlight	light_path
builders	build_house
gardner	garden_roses
potato	taste_good
fbi	bug_office
bees	gather_pollen
generals	condition_soldiers
hens	produce_eggs
scapegoat	shoulder_blame
water	stream_downhill
dude	throw_fit
king	rule_land
player	even_score
cashier	except_checks
basket	hold_flowers
children	listen_attentively
judges	decide_sentences
comma	separate_words
child	follow_leader
cocoa	warm_belly
moon	circle_planet
mental_illness	cause_suffering
lightening	strike_tree
basket	carry_laundry
machines	bottle_wine
person	walk_dog
church	better_life
business	ship_packages
football_player	throw_football
friend	remember_birthday
voter	voice_opinion
ship	run_aground
loud_music	drive_crazy
youngster	dress_doll
child	take_bath
glaser	glass_window
yours	equal_mine
cats	rest_anywhere
chalk	mark_sidewalk
integer	factored
person	finish_test
shop	stock_bicycles
artist	make_painting
government	serve_public
criminals	step_lightly
joker	fool_person
lizard	pet
overripe_food	produce_odors
people	eat_potatoes
traffic_light	stop_cars
compost	smell_bad
secretary	mail_letter
student	failing_exam
ship	near_shore
warm_puppy	heat_source
most_people	smell_flowers
exercice	make_patient
manager	head_department
sun	provide_heat
children	watch_cartoons
fishermen	catch_sharks
athlete	miss_ball
people	eat_vegatables
person	seen_sleeping
runaway_child	come_home
electricity	power_factories
farmer	market_crops
helping	good
little_children	add_numbers
learning	increase_knowledge
getting_hit	hurt_lot
manager	pick_team
computer	count_sentences
person	hold_job
refrigurators	store_milk
sin	anger_god
cat	ruling_household
sail	raised
clown	act_strange
soldier	guard_border
absent	mean_missing
food	please_hungry
cooks	bread_meat
child	pulling_wagon
procrastination	cause_problems
people	consider_ideas
engineer	build_bridge
kid	wet_pants
rugby_players	play_rugby
mosquitoes	spread_disease
baby	nurse
parents	end_dispute
humans	wear_clothes
child	climb_tree
shoe_polisher	shine_shoes
people	age_early
student	fart
child	form_opinions
farmer	defence_stranger
people	fear_dentists
king	subject_people
maid	cleaning_house
image	see
villain	face_courts
dog	smell_fear
comprimise	yield_rewards
computer	power_down
ducklings	follow_mother
horse	pet
think	control_explosion
attorney	state_case
person	bring_home
child	get_lost
spleen	enlarge
vacuum	clean_floor
humans	crazy
teacher	list_students
teacher	state_fact
crowd	view_painting
bully	push_around
certain_substances	blue_laundry
falling	hurts
airplane	lift_person
styrofoam	becomes_trash
teacher	offer_knowledge
hair_follicles	become_blocked
fists	break_noses
hypochondria	happen_biologically
moving_companies	ship_articles
person	reason_excuse
most_people	tie_knot
vexatious_litigant	threatening
diazepam	produce_dependence
office	page_crush
town_crier	spread_news
person	board_boat
child	begin_kindergarten
hat	shade_eyes
criminal	expect_punishment
compliment	miss_mark
ball_holder	position_football
guns	arm_robbers
humans	wish
politician	tell_lies
email_server	forward_email
ring	fit_finger
bank	keep_money
printer	number_pages
person	gain_respect
farmer	drive_tractor
doves	fly
tailor	dress_man
driver	hear_horn
human	taste_dish
noise	cause_disruption
when_upset	become_nauseous
paper	burned
children	become_adults
people	help_others
businessmen	meet_clients
life_preservers	prevent_drowning
parents	guide_children
clown	spread_cheer
pencils	become_dull
forms	require_signature
receptionist	page_guest
anyone	settle_debt
people	coding
policeman	force_confession
car	pass_bicycle
jurors	doubt_lawyers
time	season_wood
small_snack	hit_spot
as_eat	taste_food
person	lend_money
tree	offer_shade
war_criminal	face_tribunal
runner	time_mile
hot_springs	natural_locale
people	fear_dark
angry_people	fire_up
person	need_assistance
person	feel_humiliated
politicians	speaking_lies
dad	shoulder_burden
professor	carve_rock
telling_lies	cause_problems
pilot	bank_airplane
vintners	bottle_wine
runner	trip_himself
hand	hold_cup
bartender	present_bill
fans	crowd_musician
person	honor_ancestors
person	gather_mushroom
marijuana	get_high
money	make_wealthy
person	train_pig
lamp	shine_ligth
carpenters	true_wall
humans	start_car
lukcy_person	strike_oil
investor	gain_wealth
sharp_objects	cut_skin
fire	warm_room
donations	coming_in
doctor	examine_ultrasound
dog	eye_icecream
fruit	taste_sweet
giggling	bug_adults
traveler	board_sub
author	continue_story
judges	settle_cases
burglar	force_window
frenchman	speak_french
silly_idea	matter_to
overturned_turtle	right_itself
humans	grow_tumors
madman	talking_nonsensically
wind	dry_hair
building	fall_down
racer	race_cars
water	circle_drain
investment	double_money
accident	slow_traffic
blood_donations	save_lives
birds	mate
weather	cloud_sky
parent	separate_children
friendly_person	wave_hand
seamstress	lower_hem
gag	quiet_nag
post_office	mail_letters
person	give_present
general	lead_army
police	arm_weapons
cheetas	run_fast
revolutionaries	storm_prison
judge	wave_fine
one	guess_answer
salesperson	closing_deal
person	shine_shoes
guitar_player	perfect_skills
person	lending_hand
student	play_piano
artist	creates_music
horse	place_second
aircraft_carrier	carry_aircraft
fifth_marriage	work_out
people	state_fast
pilot	captain_plane
student	fail_class
doctors	help_patients
person	visit_place
cyclist	ride_bike
wrestler	throw_opponent
detective	catch_criminal
teacher	tell_story
playing_sports	increase_energy
person	newsmaker
racers	begin_now
cook	wash_vegetable
machine	number_mailouts
old_people	continue_exercising
paper_towel	dry_apple
couple	watch_movie
actor	milk_part
steam_pump	raise_water
we	meet_anywhere
dolly	move_box
cut	hurt_person
wise_men	govern_themselves
intelligence	equal_strength
prostitutes	offer_sex
bomb	destroy_town
driver	own_automobile
one	open_door
noises	anger_neighbors
we	gather_flowers
window	facing_north
med_students	doctor_wounds
jerks	throw_snowballs
cecil	desire_norman
expert	spot_fake
oceans	include_seas
novelist	write_book
debussy	rot_slowly
extra_water	thin_soup
horse	go_away
liquids	separate_out
movies	star_animals
scholar	study_bible
cooks	perfect_food
most_people	set_table
customer	pay_bills
lists	include_categories
fact	matter_immensely
student	study_book
too_hot	burn
kennel	board_animals
boats	sail_ocean
people	ride_float
fish_tank	hold_fish
pet_owner	name_dog
computer	start_computing
person	help_another
humans	commit_genocide
assembler	rush_job
we	try_once
fan	cool_room
menial_job	produce_joy
parents	understand_children
chinese	speak_mandarin
rain	fill_barrels
small_donation	advance_cause
humans	hunt_lions
one	pay_rates
person	distance_lover
bad_grade	lower_gpa
joke	bade
police_officers	arrest_people
person	better_effort
train	near_station
person	enjoy_learning
god	everywhere
fingers	pick_noses
human	receive_package
fly	fly
humans	heal
most_rappers	play_basketball
aspirin	fight_headache
iphone	display_weather
meditator	light_candle
one	eat_chicken
socialite	work_room
person	kayak
iphone	play_music
machines	record_images
helen	like_peaches
teacher	continue_lesson
rule	restrict_behavior
animals	gain_wieght
criminal	scape_policeman
waiter	present_bill
wear	thin_tire
people	receive_guests
textbook	include_glossary
job	require_tool
researcher	train_octopus
truth	free_mind
hunters	hurt_animals
advertising	increase_demand
chainsaw	break_down
king	rule_peasants
miner	mine_diamonds
donor	give_blood
switches	store_information
student	wash_dishes
concise_argument	further_cause
gossip	spread_rumors
chef	salt_carrot
server	stream_video
toaster	brown_bread
with_shovel	dig_hole
stage_magician	guess_number
motor	turn_propeller
teachers	help_students
person	guide_computer
people	free_slaves
camera	record_scene
happiness	make_sing
moving_slowly	annoy_people
drawing_program	group_objects
ballpoint_pen	leak
painter	coat_house
accountant	note_error
pussy	warm_cock
flowers	smell_nice
gardener	garden_garden
comforter	cover_bed
flea	jump
fried_chicken	wet_whistle
lizards	eat_flies
housewife	save_coupons
artist	perfect_painting
fire	destroy_forests
horse	jump_barrier
merchant	sell_goods
water	fill_tank
airplane	circle_airport
investment	return_profit
biologist	group_animals
person	head_team
disease	strike_unexpectedly
humans	learn
thief	get_haircut
carpenters	build_houses
people	wiggle_toes
human	drink_coffee
orphan	adopted
hate	wedge_relationships
lawyers	settle_lawsuit
companies	market_products
row	mean_argument
scientist	state_fact
text	fade
bird	sing
cheater	throw_game
sponge	clean_dishes
teacher	school_children
soldier	receive_orders
people	do_dishes
person	ship_package
two_people	touch_lips
watching_movie	diverting
people	crowd_mall
rider	trainer
we	meet_there
bats	fly
watch	time_events
baker	make_cake
rubbing	wear_surface
trees	shade_children
police_man	fire_gun
sun	warm_room
anger	kill_relationship
promotion	further_career
story_teller	word_phrase
sars_virus	spread_rapidly
not	dig_well
taxpayer	pay_government
money	increase_happiness
psychopath	attempt_murder
worker	stock_shelves
person	prove_point
farmer	hill_corn
market	target_audience
hammer	nail_board
trees	stand_together
emacs	paste_text
oxen	pull_ploughs
person	cast_shadow
movie_theaters	present_films
story	include_character
action	cause_effect
criminal	visit_jail
person	sell_computer
blacksmith	shoe_horse
workers	box_goods
ambush	surprise_enemy
people	garden_together
loan	gain_interest
sportsman	ride_horse
lion	corner_prey
children	view_viewmaster
skin	feel_tender
pussy	mean_vagina
people	dance_mazurka
athlete	compete
water	room_temperature
people	duck_responsibility
professional	train_novice
people	eat_venison
student	learn_calculus
student	close_book
machinist	machine_metal
mob	ring_martyr
person	speak_spanish
loveseat	accompanies_sofa
student	study_physics
elephant	carry_trunk
door	open
