nun	priest
philanthropy	misanthropy
cover	open
obscurable	unobscurable
nose	mouth
monotheistic	atheistic
flow	water
drive	idle
inclusion	exclusion
smile	frown
bury	dig
hyperproteic	hypoproteic
antilogous	analogous
proper	incorrect
odd	even
chromophile	chromophobe
earth	mars
sucktacular	spectacular
sugar	bitter
suck	rock
authorizable	unauthorizable
legalise	illegalise
opiophilia	opiophobia
unfretted	fretted
apprehension	inapprehension
optimistic	pessimistic
spoilt	eatable
potential	matter
morning	time
ergogenic	ergolytic
restorable	unrestorable
telic	paratelic
mixed	pure
fall	stand
nowhere	everywhere
fool	smart
unprovable	provable
benevolence	maleficence
bone	skin
extinct	extant
worldly	otherworldly
move	stand
bed	furniture
sensitively	insensitively
drink	dry
informative	normative
poison	antidote
smell	hear
start	end
pragmatism	idealism
uncategorized	categorized
cut	seal
indoors	outdoors
not	ton
inanimate	animate
compearance	noncompearance
contradirectional	codirectional
remember	forget
hill	mountain
homosexual	heterosexual
befriend	defriend
salt	vinegar
uninitializable	initializable
aftertale	foretale
attempt	up
regular	tall
senpai	kohai
eulogy	criticism
high	low
little	large
exoteric	esoteric
fix	move
both	neither
belowness	aboveness
ulterior	ostensible
unuseful	useful
heterofermentation	homofermentation
turn	going
stalagmite	stalactite
he	names
exhumation	burial
eat	starve
interrupt	resume
relaxation	stress
hold	put
manhandle	womanhandle
highbush	lowbush
plurilingual	monolingual
saucer	flying
unmappability	mappability
yeppers	nopers
lean	fatty
sacralization	desanctification
ugly	beautiful
dormant	active
take	give
ungenuine	real
hoarder	declutterer
ambiguate	disambiguate
supratentorial	infratentorial
gratefulness	ungratefulness
condemn	acquit
servant	charge
translatableness	untranslatability
jewish	gentile
unsurprising	surprising
near	remote
warmth	cool
word	sentence
absonant	consonant
edited	unedited
aerobiosis	anaerobiosis
increase	decrease
stretch	squash
omened	unomened
moral	immoral
misogynism	philogyny
inevitability	evitability
attack	position
shackle	unshackle
gay	straight
holophytic	holozoic
rest	exercise
monopoly	monopsony
buggable	unbuggable
laxism	rigorism
servant	freedom
halalization	haramization
affair	activity
fromward	toward
leavened	unleavened
farewell	greeting
rush	linger
little	lot
buy	steal
colony	homeland
dipsomaniac	abstainer
javame	javase
escape	prison
illogical	logical
forwardly	backwardly
ignore	notice
inoccupancy	occupancy
untroubledness	troubledness
pretentious	unpretentious
downwind	upwind
must	cant
petalous	petalless
epirelief	hyporelief
idiomatical	nonidiomatic
hyperchromic	hypochromic
attrition	accretion
day	nigh
land	sea
cyberpessimism	cyberoptimism
illegal	lawful
melogenic	logogenic
thrifty	spendthrift
qualified	unqualified
kooky	ordinary
hypocentre	epicentre
fetishy	normophilic
bc	ad
fish	bird
