person	sprint
guns	misfire
cat	pet
dancer	dance
injury	pain
tnt	explode
chocolate	melt
dunes	move
jew	pray
integer	factored
lizard	pet
helping	good
sail	raised
baby	nurse
student	fart
image	see
horse	pet
spleen	enlarge
humans	crazy
falling	hurts
humans	wish
doves	fly
paper	burned
people	coding
birds	mate
person	newsmaker
joke	bade
god	everywhere
fly	fly
humans	heal
person	kayak
flea	jump
humans	learn
orphan	adopted
text	fade
bird	sing
rider	trainer
bats	fly
athlete	compete
door	open
rats	bite
exercise	condition
people	speak
planes	crash
lizards	exercise
birds	chirp
goose	fly
humans	reproduce
bladder	filled
frogs	swim
children	skip
finger	point
magician	fool
humans	dream
torpedo	explode
wood	burn
teacher	educate
todd	burn
ear	hear
secretaries	type
adult	marry
reasoning	analogical
door	close
computer	arithmetic
star	explode
spring	bounce
fencers	attack
sand	flow
cats	claw
teeth	decay
machine	construct
student	study
brother	bug
chicken	food
anarchist	agitate
ceiling	sag
people	bite
person	smelly
animal	live
stocks	sold
pickle	sour
seed	grow
bells	rang
humans	punch
bubble	burst
walker	walk
cats	purr
carrots	choped
birds	grow
frogs	jump
clown	surprise
mankind	reach
child	breathe
earth	revolve
nose	sniff
computer	think
virus	reproduce
rooster	pet
humans	dance
war	escalate
trees	grow
ice	melt
spy	following
child	learn
flower	blossom
wasps	sting
gundog	work
adults	count
fireworks	boom
computer	count
swimming	sport
newspaper	motivate
pilots	land
life	end
people	sing
mouse	pet
friend	needle
computers	compute
place	anywhere
fajitas	eat
dinosaurs	big
grandaughter	baby
life	die
birds	eat
ants	fly
paw	soft
shirley	fancy
grandma	welcome
anyone	say
ships	have
teens	homework
drain	wick
airplanes	stall
computers	networked
birds	peck
cow	pet
people	baby
fbi	investigate
band	blaring
soliders	die
fire	cleansing
toilet	refill
elastic	recoil
pony	pet
babies	cry
doctor	resuscitate
diagnosis	change
bricklayers	smoke
metal	burns
accomodations	hotels
birds	land
performance	play
elephants	breathe
newspaper	inform
cookie	crumble
scientist	experiment
water	flow
iguana	pet
person	breathe
crayons	melt
dress	action
athlete	jog
airplanes	taxi
birds	poop
dinosaur	eat
parrots	talk
bomb	destroy
newspaper	advertise
lovers	kiss
anyone	awesome
ball	roll
top	spin
who	explain
poisons	kill
policemen	help
anything	whatever
insects	move
earth	rotate
students	study
penis	pee
door	glass
aardvark	burrow
relative	visit
fire	sterelize
medicine	cargo
snake	pet
sweat	drip
people	forgive
young	enjoy
water	evaporate
animals	bite
prices	vary
paint	dry
mommy	fix
fish	pets
star	supernova
stereo	blaring
ghost	haunt
humans	act
scientist	research
hoatzins	fly
muscle	contract
bird	fly
dogs	yelp
ball	toy
cancer	kill
human	stand
underwear	provocative
cat	miaow
labels	pictures
dogs	drool
clouds	rain
society	club
christian	fail
light	illuminate
preacher	preach
a	container
stocks	converted
owls	fly
birds	grieve
frogs	hop
cats	think
dogs	pet
hands	articulate
lover	complete
shark	swim
bird	chirp
love	destroy
cook	cook
clouds	sirrus
bag	goal
airplanes	bomb
everyone	learn
human	write
beggar	beg
bike	skid
grenade	kill
child	whine
airplanes	accelerate
soda	settle
robot	repetitive
claws	scratch
person	converse
mosquitoes	fly
cats	excrete
ferrets	bite
computers	work
home	welcome
shit	faeces
cars	crash
scene	location
happiness	spread
statement	lie
mammmal	fly
artist	create
appearances	decieving
trees	fall
drive	street
wood	warp
humans	destroy
chimpanzees	display
people	dance
bug	anger
glass	melt
student	think
logic	help
children	enjoyed
dog	urinate
kitten	mew
monument	statue
midgets	steal
pana	eat
trying	lying
swimmer	kick
flower	open
idiots	surprise
fishermen	fish
plant	bloom
fire	kill
computer	do
people	imagine
frog	pet
anyone	record
butterfly	delight
text	book
christian	rebel
person	hand
who	doubt
female	conceive
boats	motorised
running	wind
lamp	illuminate
dogs	sniff
doctor	care
ravens	fly
u	read
chalk	break
fedex	ship
peole	dance
copper	corrode
dogs	attack
car	stall
kids	distracting
newspaper	educate
arrow	projectile
eye	focus
water	wet
tree	grow
car	crash
gyms	clubs
choir	sing
company	liquidated
person	courageous
dinosaurs	dead
genes	mutate
vampires	bite
bombs	explode
rope	tie
toilet	flush
puppy	pet
runner	running
muscles	relax
dogs	mate
felt	emotion
statistics	prove
kangaroos	leap
anything	surprise
bee	sting
temperature	increase
failure	illusion
tiger	eat
dogs	pant
people	passengers
cathartic	laxative
wax	burn
humans	criminals
grass	burn
scenery	beautifull
person	leap
chef	cook
liar	fool
organism	need
injury	hurts
knife	kill
wax	moulded
hand	write
is	expensive
mosquito	fly
person	holding
potatoes	diced
we	control
robber	steal
ships	collide
bladder	empty
token	symbol
friend	talk
judges	judge
person	think
pens	artworks
skeptics	doubt
humans	cry
wood	composted
bull	charge
glass	shattering
light	travel
whales	swim
birds	fky
computer	calculate
skater	skateboard
mind	tended
plane	fall
television	unplugged
umbrella	color
fire	hurt
pistol	wound
anyone	gay
tree	bud
cords	bind
wood	sanded
bee	fly
christian	stumble
ceiling	leak
dogs	bark
friends	comfort
christian	pray
balls	pop
anyone	kiss
plastic	melt
building	target
plant	grow
van	transport
infant	sleep
airplanes	crash
trains	brake
trumpet	blaring
shoe	trip
organisms	die
kindness	neverending
drain	tube
story	floor
plans	fail
couple	communicate
gambling	addicitve
houses	burn
dolphins	swim
humans	sleep
machine	dispense
teacher	explain
fruit	decay
deception	delude
ribbon	color
gas	explode
liars	promise
human	die
tent	shelter
politicians	legislate
word	mean
bones	break
plants	photosynthesis
humans	attack
teacher	encourage
love	hurt
person	own
gundog	retrieve
humans	multiply
llama	pet
fire	burn
frisbee	fly
gloves	fit
clothes	fit
cans	places
beetles	fly
radio	blaring
animals	mammals
bird	pet
a	mammal
student	talk
flags	wave
oxygen	freeze
teens	volunteer
rooster	crow
sheep	graze
machines	fly
chocolate	melts
policman	help
person	shave
god	anything
cats	mischievious
cat	meow
lesbians	marry
sky	starry
king	vomit
people	judge
thought	create
animals	move
ball	bounces
chickens	consummed
music	beautifull
cities	flood
inventor	invent
mammal	mate
bladder	full
hair	composted
hand	hand
butterfly	fly
secretary	page
birds	hatch
skunk	spray
student	homework
flower	close
flies	fly
wrestler	wrestle
tv	blaring
bomb	kill
catcher	catch
people	trek
babies	giggle
trees	burn
time	age
dog	pet
buttons	explode
glue	dry
bullying	costly
citizen	vote
dogs	males
believer	pray
gnat	fly
