dying	decaying
diving	underwater
jealousy	deaths
learning	knowledge
cooking	burns
cogitating	thought
killing	sorrow
dancing	injury
shave	bald
tickling	squirming
flirting	happiness
ignite	burn
surprising	accidents
thinking	decisions
soften	soften
gladden	gladden
celebrating	intimacy
pour	run
dating	marriage
stop	stop
sharpen	sharpen
seeing	fame
killing	suicide
waiting	boredom
talking	noise
communicating	misunderstanding
pain	fear
listening	hear
sickness	suffering
laziness	inventions
detonate	detonate
diving	drowning
pretending	erections
performing	entertaining
remembering	recalling
eating	shitting
war	unrest
cogitating	decision
painting	slashes
poisoning	sickness
thanking	peace
drug	trip
memorising	learning
intoxication	regret
crack	crack
virus	infection
hurricane	tornadoes
dancing	movement
virus	disease
grooming	tardiness
competing	jealousy
entertaining	fatigue
hush	hush
fire	smoke
dancing	exhaustion
age	senesce
convert	convert
socialising	laughter
contemplating	action
socialising	friendships
desire	sin
wrestling	silly
daydreaming	accident
walking	fun
buying	broke
open	open
grooming	injury
learning	overconfidence
fiddling	troubles
talking	laughing
back	back
reproducing	children
killing	punishment
falling	injury
contemplating	reflection
hydrolize	hydrolyze
hiking	blisters
bubble	bubble
belief	trust
match	friction
studying	understanding
dissolve	dissolve
diving	splashes
competing	stress
spitting	annoyment
panic	injury
punishing	anger
sadden	sadden
getting	losing
remembering	sad
dancing	intercourse
disclose	break
kill	die
fiddling	discovery
information	understanding
reading	education
shopping	tiredness
cooking	smoke
stampede	stampede
copulating	cumming
killing	arrest
pepper	sneezing
walking	injuries
hiking	sweating
suffocation	death
performing	butterflies
snow	shovelling
punching	fight
surfing	sunburn
killing	guilt
flirting	anger
crown	reign
dehydration	thirst
loneliness	dispair
singing	joyousness
punishing	stress
skiing	accidents
crying	better
stress	fatigue
starvation	hunger
homework	frustration
praying	miracle
typing	book
faithfulness	trust
getting	aquisition
love	marriage
sleeping	drool
subject	experience
tickling	nausea
wrestling	injury
work	exhaustion
ignorance	accidents
driving	accident
rain	flooding
typing	text
listening	knowing
reading	drowsiness
harden	harden
farting	stench
tense	tense
jogging	sweating
fiddling	noise
purity	distrust
death	sadness
pretending	play
singing	laughter
dancing	exhilerating
war	genocide
fire	heat
dancing	expression
entertaining	laugh
thinking	wonder
talking	distraction
end	end
wrestling	bruises
snoring	resslessness
typing	errors
knitting	bleeding
diving	death
entertaining	boredom
relaxing	satisfaction
painting	color
lightning	thunder
pique	resent
living	suffering
stand	stand
collaboration	progress
painting	mess
purge	evacuate
stiffen	stiffen
typing	story
writing	writing
bulge	bulge
judging	dislike
surprising	annoyance
exercising	improve
drink	intoxication
urinating	easement
farting	embarassment
dancing	blisters
learning	effectiveness
writing	documentation
reading	eyestrain
shopping	panic
farting	smell
move	move
funeral	sadness
cigarette	fire
birthday	party
reproducing	child
gambling	bankruptcy
enrage	rage
shopping	calluses
spitting	gross
judging	controversy
exercising	fatigue
exercising	breathlessness
performing	energetic
pack	throng
living	palpitations
chickens	eggs
analysing	change
darkness	fear
wrestling	competition
contemplating	enlightenment
pretending	lying
living	hard
exercise	injury
thanking	joy
singing	relaxation
performing	fear
punishing	resentment
entertaining	like
copulating	overpopulation
frighten	fear
running	cramps
fencing	parries
drench	drink
darken	darken
skiing	injury
terrorism	death
pretending	distrust
celebrating	enjoyment
eating	defecating
competing	argument
effect	happen
entertaining	gratification
resting	relaxation
reading	learning
heat	pain
jogging	fitness
traveling	diarrhea
working	blisters
relaxing	invigorating
helping	satisfaction
running	breathlessness
job	stress
thicken	thicken
masturbation	orgasm
waste	emaciate
affix	adhere
lying	trouble
remembering	nostalgia
encourage	hope
judging	judgement
hurricane	disaster
hurt	ache
praying	meditation
celebrating	riots
killing	grief
emulsify	emulsify
bilge	bilge
elate	rejoice
working	boredom
sleeping	rejuvenatiobn
singing	music
socialising	jealousy
lift	rise
performing	tiredness
exercising	pain
thanking	hug
dying	sadness
lying	distrust
climbing	ascending
cleaning	allergies
shopping	overspending
explosion	destruction
happiness	love
dreaming	fantasy
cabbage	gas
listening	pain
embitter	resent
choke	choke
join	join
stress	headache
stigma	discrimination
overpopulation	loneliness
jogging	exhaustion
kissing	disease
buying	ownership
lying	deceived
living	life
contemplating	revelations
injury	pain
forgiving	reconcilliation
copulating	rapport
thinking	depression
pressure	osmosis
traveling	moving
learning	knowing
judging	resentment
sleeping	energy
wrestling	winning
joke	laughter
schizophrenia	stigma
working	produce
unionize	unionize
hate	violence
walking	locomotion
violence	death
playing	winning
bathing	clean
getting	receiving
living	death
resting	sleep
infection	malfunction
breathing	life
communicating	static
stress	ulcers
urinating	relief
celebrating	happiness
pretending	deception
swimming	earache
climbing	exhilaration
writing	cramp
writing	catharsis
sensitize	feel
grooming	satisfaction
engine	energy
war	destruction
thanking	embarrassment
project	appear
walking	exercise
ageing	wrinkles
lying	enjoyment
resting	dreaming
fencing	injuries
praying	contemplation
surprising	funny
awaking	ensomia
relaxing	sleepinesss
wrestling	blood
resonate	understand
performing	action
living	expiration
jogging	sweat
surfing	drowning
alcohol	hangover
drowning	death
performing	injury
friction	heat
surprising	fight
farting	embarrasment
playing	losing
cooking	food
develop	grow
kissing	embaracment
flood	disaster
crisis	focus
driving	transportation
fearing	hating
pretending	fooled
skiing	sweat
beer	drunkenness
typing	indeterminate
hiking	smile
surprising	startled
thinking	knowledge
traveling	relocation
knitting	relax
punishing	revenge
dreaming	confusion
memorising	headache
snoring	sleeplesness
killing	pleasure
remembering	learn
ring	sound
analysing	understanding
skating	injuries
forgiving	absolution
living	perspiration
sewing	boredom
disjoin	disjoin
germ	disease
study	knowledge
procreating	pregnancy
climbing	fall
flow	run
sewing	clothes
broaden	broaden
resting	recuperation
instrument	job
smoking	cancer
fiddling	breaking
communicating	progress
walking	moving
competing	winning
deceipt	distrust
dancing	euphoria
talking	sound
overturn	overturn
working	fatigue
rushing	errors
mobilize	move
kissing	love
fly	float
fire	fire
ferment	sour
resting	rejuvination
sleeping	nightmares
death	burial
faith	action
forgiving	guilt
coerce	act
coffin	death
performing	anxiety
living	change
copulating	ejaculation
remembering	pleasure
cheer	happiness
kissing	sex
driving	injuries
celebrating	drinking
living	love
copulating	babies
electricity	electrocution
thanking	smila
learning	education
exercise	exercise
reproducing	birth
hugging	arousal
remembering	smile
overpopulation	famine
breathing	choking
dying	pain
exercise	thirst
humour	smile
snoring	jab
flirting	problems
dovetail	fit
lying	shame
swimming	cramps
competing	competition
oxygen	corrosion
procreating	twins
sunburn	cancer
ending	sadness
studying	headache
hiking	tired
carelessness	accidents
dehydration	death
moisture	dampness
eggs	chickens
contemplating	relaxation
playing	fitness
tickling	pain
celebrating	drunkeness
sex	herpes
thinking	thought
buying	getting
learning	pride
living	learning
swimming	drown
fencing	confine
farting	stink
breathing	relaxation
terrorism	sadness
impalement	death
reproducing	copies
communicating	missunderstanding
surprising	humor
shopping	debt
urinating	pain
rain	floods
dancing	stampeeds
sleeping	erections
analysing	confusions
drought	famine
caffiene	nervousness
procreating	quintuplets
contemplating	insights
painting	pictures
affair	scandal
smiling	happiness
grooming	get
writing	thinking
heat	irritation
reproducing	problems
voting	election
lighening	thunder
procreating	itching
remembering	phoning
cooking	eating
stress	depression
assemble	meet
copulating	impregnation
overeating	indigestino
trip	stumble
competing	rivalry
pretending	fun
alcoholism	stigma
breathing	coughing
sleeping	rest
drinking	headaches
fill	fill
thanking	thank
unemployment	bankrupcy
breathing	living
flling	injury
killing	funeral
shorten	shorten
running	calluses
grooming	positive
walking	move
kissing	excitement
depression	suicide
climbing	sweating
feed	eat
grooming	neatness
traveling	exhilarating
analysing	headache
jesse	happiness
tripping	falling
virus	cold
match	fire
driving	boredom
celebrating	hangovers
procreating	exhaustion
studying	sleep
earthquake	disaster
oxycontin	euphoria
communicating	understanding
follow	follow
infidelity	divorce
hunger	starvation
sleeping	dreams
traveling	learning
hiking	exercise
impatience	frustration
procreating	children
judging	responsibility
fencing	injury
eating	satisfaction
sleeping	refreshment
tide	tide
eating	heartburn
reading	understanding
coffee	insomnia
getting	having
listening	fatigue
robbery	terror
getting	headaches
run	tired
argument	violence
fasten	fasten
tire	tire
resuscitation	life
irs	suicides
killing	investigation
panic	panic
cohere	cohere
pass	pass
religion	wars
lying	sadness
painting	spatter
snow	avalanches
diving	exhilaration
exercising	exhaustion
competing	lose
surfing	enjoyment
kissing	horniness
leach	leach
remembering	depression
running	exhaustion
studying	learn
competing	sweat
rush	rush
celebrating	headaches
reproducing	overpopulation
living	dieing
working	reward
working	stress
blur	blur
sleeping	relaxation
learning	good
shrink	shrink
overeating	indigestion
spitting	loogie
cheer	cheer
dancing	humiliation
copulating	reproduction
diving	wetness
breathing	hyperventilation
competing	hatred
lay	lie
living	interaction
religion	war
fishing	anger
tickling	laughter
living	happyness
sewing	dress
buying	haveing
percolate	percolate
swimming	floating
thinking	tension
ghost	fear
season	taste
singing	happiness
intensify	intensify
competing	contest
punishing	retribution
copulating	alimonyu
drinking	sickness
surprising	urine
entertaining	embarrasment
fasting	death
sleeping	dreaming
copulating	offspring
guitar	vibration
driving	accidents
painting	spatters
dreaming	nightmare
playing	relaxation
forgiving	respect
competing	aggression
praying	religiosity
boring	suicide
cold	shivers
singing	pain
working	tiredness
learning	growth
direct	act
attach	attach
relaxing	inattention
slacken	slacken
tickling	laugh
fiddling	drop
sun	light
sunlight	warmth
running	injury
embarrassment	blushing
bacteria	stink
spitting	offending
dreaming	nightmares
mine	contact
circulate	circulate
fiddling	dancing
fencing	sweating
snoring	waking
tequila	drowsiness
heat	heat
helping	heart
kissing	shyness
strengthen	strengthen
grooming	mistakes
reading	headaches
starvation	death
forgiving	redemption
jogging	fatigue
begin	begin
better	better
pasteurize	condense
judging	argument
awaking	irritability
boil	boil
talking	headaches
smoking	dying
running	injuries
fencing	winning
getting	gratitude
punching	pain
thinking	idea
develop	develop
contemplating	revelation
fearing	violence
tickling	itchiness
thinking	money
socialising	anxiety
use	apply
swimming	propulsion
remembering	trauma
living	breathing
grieve	grieve
thanking	goodwill
living	reproducing
praying	calming
tickling	laughing
ripen	ripen
getting	disappointment
love	deaths
ignorance	bliss
talking	revelation
learning	intelligence
overheat	overheat
ambulance	injury
diving	splats
competing	exhilirating
earthquake	tsunami
awaking	tiredness
entertaining	entertain
living	respiration
trip	happen
cool	cool
shine	shine
unfasten	unfasten
remembering	pain
odorize	smell
surprising	shocked
adultery	rage
surfing	falling
talking	understanding
urinating	burning
typing	tendonitis
flirting	sex
lying	problems
performing	accolades
reproducing	fun
living	loving
eating	bloating
relaxing	nerves
kissing	like
awaking	discomfort
judging	conflict
money	greed
farting	skidmarks
sink	sink
fire	pain
lower	descend
cogitating	headaches
gravity	weight
produce	appear
judging	pain
killing	horrible
reading	ideas
sex	children
focus	focus
god	miracles
analysing	insight
writing	story
teaching	learning
kissing	arousal
performing	happiness
living	pollution
entertaining	favors
working	results
judging	evaluating
fiddling	unpredictable
pain	unhappiness
forgiving	peace
remembering	knowing
elongate	stretch
zombie	fear
breathing	breathtaking
sleeping	rejuvenation
entertaining	happiness
awaking	annoyance
sin	death
killing	freedom
laughing	coughing
communicating	confusion
dreaming	fear
vicodin	euphoria
listening	learning
working	prosperity
slip	slip
snoring	death
knitting	afgans
cooking	steam
typing	communicating
falling	landing
lying	pain
remembering	learning
traveling	disorientation
surfing	injury
discolor	discolor
war	death
exercise	sweating
bigotry	hatred
surprising	irritated
asking	answering
competing	exhilleration
bethink	study
awaking	alertness
swimming	drowning
buying	grief
procreating	procreations
walking	blisters
analysing	thinking
memorising	recital
playing	competitiveness
exercise	sweat
fret	fret
eating	death
start	start
singing	heard
judging	verdict
dancing	happiness
thanking	gratitude
playing	learning
cleaning	injury
reading	thought
compel	act
helping	complications
loosen	loosen
travel	travel
lying	guilt
pretending	fantasy
entertaining	embarrassment
memorising	knowing
carelessness	injury
affair	divorce
cogitating	enlightenment
complaining	change
listening	contentment
memorising	boredom
competing	death
bounce	bounce
traveling	movement
dreaming	unsettling
driving	moving
unteach	unlearn
polymerize	polymerize
snoring	obnoxious
infection	death
puberty	pms
competing	wins
worry	worry
lying	doubt
eating	nausea
thinking	fatigue
playing	injuries
call	meet
judging	prejudice
flirting	curiosity
competing	defeat
living	surviving
lying	mistrust
dancing	sweat
getting	death
reading	calmness
getting	joy
swell	swell
climbing	accomplishment
fiddling	music
competing	enemies
remembering	forgeting
reading	knowledge
driving	deaths
evacuate	move
dying	funeral
vampire	fear
knitting	relaxation
hiking	fatigue
cooking	hunger
wrestling	injuries
convulse	convulse
socialising	trouble
listening	anxiety
spitting	fights
helping	enjoyment
knitting	scarf
competing	tension
jogging	moving
communicating	response
alcohol	drunkenness
exercise	fitness
exercising	relaxation
damage	malfunction
killing	remorse
fire	ashes
dying	dead
eating	feces
surprising	joy
playing	fun
solidify	solidify
urinating	relaxation
contemplating	hesitation
studying	learning
flirting	attraction
socialising	conflicts
remembering	problems
sun	heat
kissing	erection
fell	descend
farting	odor
praying	miracles
agonize	agonize
punishing	pleasure
morph	morph
kissing	pleasure
clink	tinkle
killing	imprisoned
solvate	solvate
drinking	swallow
reproducing	family
surprising	frightened
drinking	hangover
urinating	arrest
memorising	remember
relaxing	sleepiness
entertaining	happy
sex	orgasm
running	pain
running	tiredness
cleaning	health
kissing	herpes
thanking	gratitute
skating	scrapes
copulating	pleasure
marble	game
flirting	relationship
diving	bends
demulsify	demulsify
smoking	pleasure
talking	conversation
memorising	rememberence
playing	enjoyment
communicating	misunderstandings
grooming	beauty
suborn	perjure
getting	ownership
work	work
fasting	hunger
masturbation	ejaculation
happiness	tears
